ID_Membre,Age,Sexe,Moyenne_Lycée,Filiére,Autres_Clubs,Projets_Realisés,Evaluation_Bureau,Soft_Skills,Score_Entretien,Experience_Professionnelle,Indice_Engagement,Cellule,Formations
337,20,Homme,13.35,IIA,3,1,2.925,9,7,No,2.6225565392740067,Cellule RH,"Leadership, Self Improvement"
2241,25,Femme,15.55,ART,4,5,4.2,4,10,No,1.130713013011356,Cellule Marketing,"Risk Management, Negociations, Photoshop"
1323,20,Femme,18.2,RT,2,9,3.4625,10,7,No,2.357318723187966,Cellule Web,"Self Improvement, Data Science"
3011,20,Femme,13.9,IIA,1,8,2.975,5,9,No,2.0034279167873086,Cellule Web,"Risk Management, JavaScript"
4591,22,Homme,11.75,RT,1,8,4.35,2,6,Yes,0.9647753109779796,Cellule Web,"Public Speaking, Data Science, ReactJS"
2819,24,Femme,14.65,IMI,3,0,2.7125,6,4,No,2.6530400858523584,Cellule Qualité,"Self Improvement, Quality Control, Quality Assurance"
2264,25,Homme,10.05,IIA,1,7,4.175,8,6,No,1.1412347420646252,Cellule Web,"Time and stress management, NestJS, JavaScript"
487,25,Femme,19.2,IMI,2,4,2.7375,9,7,No,2.2955507814625284,Cellule RH,"Teamwork, Public Speaking, Self Improvement"
287,25,Femme,13.5,MPI,0,1,4.7375,1,7,Yes,0.5072995208766093,Cellule Web,"Teamwork, Data Science"
4867,24,Femme,17.15,IIA,4,5,4.325,1,7,Yes,1.137253252313496,Cellule Qualité,"Public Speaking, RSE, ISO9001"
4162,25,Homme,16.15,CH,3,8,2.675,3,6,No,2.171531171729053,Cellule Web,"Risk Management, Git, Docker"
3662,25,Homme,12.5,CH,4,9,4.65,10,10,No,2.6084286111641704,Cellule Web,"Risk Management, Git"
255,21,Homme,17.95,IMI,3,9,4.675,8,7,No,1.8931348221428248,Cellule Web,"Self Improvement, NestJS"
1653,23,Femme,19.7,IMI,1,9,2.6125,5,9,No,1.2119087559709267,Cellule Web,"Time and stress management, JavaScript"
2804,25,Homme,14.9,MPI,2,8,4.6625,8,6,Yes,2.409659415274626,Cellule Web,"Risk Management, Git"
1145,25,Femme,13.9,IIA,3,2,3.425,10,5,No,3.721902504375224,Cellule RH,"Leadership, Teamwork"
1236,21,Femme,13.75,GL,1,2,3.5125,1,10,Yes,1.4495541354413235,Cellule Mobile,"Teamwork, Git"
4241,19,Homme,19.55,GL,0,9,2.85,3,6,Yes,3.039752406339273,Cellule Web,"Public Speaking, Web Development, ReactJS"
1026,25,Homme,15.4,IIA,3,4,3.3625,3,5,No,1.3318561814152103,Cellule Qualité,"Leadership, RSE"
4676,24,Homme,12.0,MPI,2,3,4.725,2,6,Yes,0.7658630430508194,Cellule Marketing,"Risk Management, Digital Marketing, Pitching"
1129,25,Homme,15.4,GL,3,0,3.55,9,9,No,2.24111573713106,Cellule RH,"Leadership, Time and stress management, Communication"
4196,25,Homme,12.4,GL,2,5,3.675,2,8,No,0.3934966117842603,Cellule Mobile,"Leadership, Docker"
2274,25,Homme,15.5,ART,4,5,3.9375,2,10,No,1.8891836731187253,Cellule Marketing,"Risk Management, Content Creation"
4523,25,Homme,16.9,RT,3,5,4.075,1,9,No,1.5004813865063285,Cellule Mobile,"Communication, Flutter, React Native"
1861,25,Homme,19.5,GL,4,3,3.8125,7,10,No,5.232382064837391,Cellule Marketing,"Communication, Negociations, UI/UX"
4499,21,Femme,12.7,BIO,4,1,4.8875,1,8,Yes,2.166242975040509,Cellule Marketing,"Communication, Pitching, UI/UX"
2030,19,Femme,12.3,GL,0,0,3.7375,6,6,No,1.8127739050625693,Cellule Developpement Commercial,"Self Improvement, B2B Sales"
1955,24,Homme,15.45,GL,2,7,2.975,5,7,Yes,-0.5056469418403244,Cellule Web,"Public Speaking, ReactJS"
4654,25,Femme,13.15,BIO,3,9,4.8375,2,9,No,0.6791524017488838,Cellule Web,"Risk Management, Docker"
970,18,Homme,18.45,RT,2,5,3.325,2,7,No,1.0818741393863225,Cellule Mobile,"Risk Management, Git, NestJS"
